ANOMES,ANOEXERCICIO,MES,NOMEORGAO,TIPOADMINISTRACAO,TIPOPODER,RECEITAPREVISTAATUALIZADA,NATUREZARECEITA,RECEITAREALIZADA,CNPJORGAO
201403,2014,Mar,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",N/A,N/A,2.984041667E7,"ADICIONAL ICMS - FUNDO ESTADUAL DE COMBATE A POBREZA",2.479302253E7,
201403,2014,Mar,"PROTEGE GOIAS",Direta,Executivo,2.984041667E7,"ADICIONAL ICMS - FUNDO ESTADUAL DE COMBATE A POBREZA",2.479302253E7,6084202000145
201403,2014,Mar,"ESTADO DE GOIAS",N/A,N/A,3.4422E7,"ALIENACAO DE BENS",,
201403,2014,Mar,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",N/A,N/A,251916.66,"ALIENACAO DE BENS",,
201403,2014,Mar,"FUNDO DE MODERNIZACAO DO MINIST PUBLICO",Direta,N/A,1000.0,"ALIENACAO DE BENS",,7004223000176
201403,2014,Mar,EMATER,Indireta,Executivo,83.33,"ALIENACAO DE BENS IMOVEIS",,13232306000115
201403,2014,Mar,"ESTADO DE GOIAS",N/A,N/A,3.417508333E7,"ALIENACAO DE BENS IMOVEIS",,
201403,2014,Mar,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,3.417508333E7,"ALIENACAO DE BENS IMOVEIS",,
201403,2014,Mar,"FUNDO DE FOM. AO DESENV. ECON.E SOCIAL",Direta,Executivo,16500.0,"ALIENACAO DE BENS IMOVEIS",,3280530000129
201403,2014,Mar,"AG. GOIANA DE REG. CONT. E FISC. S.PUBL",Indireta,Executivo,2916.67,"ALIENACAO DE BENS MOVEIS",,3537650000169
201403,2014,Mar,"AG.GOIANA DE DESENV. RURAL E FUNDIARIO",Indireta,Executivo,83.33,"ALIENACAO DE BENS MOVEIS",,3521741000106
201403,2014,Mar,"ESTADO DE GOIAS - ADMINISTRACAO DIRETA",N/A,N/A,250.0,"ALIENACAO DE BENS MOVEIS",,
201403,2014,Mar,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,245916.66,"ALIENACAO DE BENS MOVEIS",,
201403,2014,Mar,"FUNDO ESTADUAL DE DESENVOL.DO NORDESTE",Direta,Executivo,238833.33000000002,"ALIENACAO DE BENS MOVEIS",,4916251000171
201403,2014,Mar,"FUNDO DE FOM. AO DESENV. ECON.E SOCIAL",Direta,Executivo,8333.34,"ALIENACAO DE IMOVEIS URBANOS",,3280530000129
201403,2014,Mar,"AG.GOIANA DE DESENV. RURAL E FUNDIARIO",Indireta,Executivo,83.33,"ALIENACAO DE OUTROS BENS IMOVEIS",,3521741000106
201403,2014,Mar,"AG.GOIANA DE DESENV. RURAL E FUNDIARIO",Indireta,Executivo,166.66,"ALIENACAO DE OUTROS BENS MOVEIS",,3521741000106
201403,2014,Mar,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,491833.32,"ALIENACAO DE OUTROS BENS MOVEIS",74020.0,
201403,2014,Mar,"FUNDO CAP. SERV. E MOD. - FUNCAM",Direta,Executivo,477666.66000000003,"ALIENACAO DE OUTROS BENS MOVEIS",,13301077000143
201403,2014,Mar,"FUNDO ESP. DE REAPARELHAMENTO DO T.C.M.",Direta,Legislativo,,"ALIENACAO DE OUTROS BENS MOVEIS",0.0,6881263000133
201403,2014,Mar,"FUNDO PENINT. ESTADUAL - FUNPES",Direta,Executivo,,"ALIENACAO DE OUTROS BENS MOVEIS",0.0,10879198000189
201403,2014,Mar,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",N/A,N/A,4166.67,"ALIENAÇÃO DE IMÓVEIS URBANOS",,
201403,2014,Mar,"ESTADO DE GOIAS - TESOURO ESTADUAL",N/A,Executivo,2.324991667E7,"ALIENAÇÃO DE IMÓVEIS URBANOS",0.0,1409655000180
201403,2014,Mar,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",N/A,N/A,,"ALIENAÇÃO DE OUTROS BENS IMÓVEIS",0.0,
201403,2014,Mar,"ESTADO DE GOIAS-ADMINISTRACAO INDIRETA",N/A,N/A,83.33,"ALIENAÇÃO DE OUTROS BENS IMÓVEIS",,
201403,2014,Mar,"AGENCIA GOIANA DE ESPORTE E LAZER",Indireta,Executivo,,ALUGUEIS,6310.8,5470294000139
201403,2014,Mar,"AGÊNCIA GOIANA DE COMUNICAÇÃO",Indireta,Executivo,4166.66,ALUGUEIS,5006.88,3520902000147
201403,2014,Mar,"DEP. EST. DE TRÂNSITO DE GOIÁS- DETRAN",Indireta,Executivo,16166.66,ALUGUEIS,16901.44,2872448000120
201403,2014,Mar,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",N/A,N/A,391333.32,ALUGUEIS,370685.68,
201403,2014,Mar,"ESTADO DE GOIAS - PODER JUDICIARIO",N/A,N/A,166666.66,ALUGUEIS,300037.3,
201403,2014,Mar,"ESTADO DE GOIAS - TESOURO ESTADUAL",N/A,Executivo,54833.340000000004,ALUGUEIS,54213.22,1409655000180
201403,2014,Mar,"FUNDO EST. DE SEGURANÇA PÚBLICA-FUNESP",Direta,Executivo,2333.32,ALUGUEIS,,2658753000114
201403,2014,Mar,"FUNDO ESTADUAL DE CIENCIA E TECNOLOGIA",Direta,Executivo,188833.34,ALUGUEIS,,743928000166
201403,2014,Mar,"UNIVERSIDADE ESTADUAL DE GOIAS",Indireta,Executivo,9166.66,ALUGUEIS,16288.94,1112580000171
201403,2014,Mar,"ESTADO DE GOIAS",N/A,N/A,193583.33000000002,"AMORTIZACAO DE EMPRESTIMOS",634191.15,
201403,2014,Mar,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,193583.33000000002,"AMORTIZACAO DE EMPRESTIMOS",634191.15,
201403,2014,Mar,"FUNDO DE FINANC. DO BANCO DO POVO GOIÁS",Direta,Executivo,8083.33,"AMORTIZACAO DE FINANCIAMENTOS DIVERSOS",,17850814000118
201403,2014,Mar,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,,"AMORTIZAÇÃO DE EMPRESTIMOS",0.0,
201403,2014,Mar,FUNPRODUZIR,Direta,Executivo,,"AMORTIZAÇÃO DE EMPRESTIMOS",0.0,4352350000178
201403,2014,Mar,"FUNDO DE FOMENTO A MINERACAO",Direta,Executivo,,"AMORTIZAÇÃO DE EMPRÉSTIMOS - FUNMINERAL",200459.5,3609406000164
201403,2014,Mar,"FUNDO ESPECIAL DE SAUDE - FUNESA",Direta,Executivo,10000.0,"ATENÇÃO BÁSICA",,544963000156
201403,2014,Mar,"ESTADO DE GOIAS",N/A,N/A,4026833.33,"ATENÇÃO DE MAC. AMBULATORIAL E HOSPITALAR",3407909.99,
201403,2014,Mar,"ESTADO DE GOIAS - ADMINISTRACAO DIRETA",N/A,N/A,166.67000000000002,"ATUALIZACAO MONETARIA DE ORIGEM NAO TRIBUTARIA",0.0,
