ANOMES,ANOEXERCICIO,MES,NOMEORGAO,CNPJORGAO,TIPOADMINISTRACAO,TIPOPODER,RECEITAPREVISTAATUALIZADA,NATUREZARECEITA,RECEITAREALIZADA
201405,2014,Mai,"FUNDO SOCIAL DE LOTERIA",4354889000166,Direta,Executivo,2.984041667E7,"ADICIONAL ICMS - FUNDO ESTADUAL DE COMBATE A POBREZA",
201405,2014,Mai,"AG. GOIANA DE REG. CONT. E FISC. S.PUBL",3537650000169,Indireta,Executivo,2916.67,"ALIENACAO DE BENS",
201405,2014,Mai,"AG.GOIANA DE DESENV. RURAL E FUNDIARIO",3521741000106,Indireta,Executivo,166.67000000000002,"ALIENACAO DE BENS",
201405,2014,Mai,"ESTADO DE GOIAS - ADMINISTRACAO DIRETA",,N/A,N/A,3.416691667E7,"ALIENACAO DE BENS",
201405,2014,Mai,"FUNDO DE FOM. AO DESENV. ECON.E SOCIAL",3280530000129,Direta,Executivo,16500.0,"ALIENACAO DE BENS",
201405,2014,Mai,"FUNDO DE MODERNIZACAO DO MINIST PUBLICO",7004223000176,Direta,N/A,1000.0,"ALIENACAO DE BENS",
201405,2014,Mai,"FUNDO ESTADUAL DE DESENVOL.DO NORDESTE",4916251000171,Direta,Executivo,238833.33000000002,"ALIENACAO DE BENS",
201405,2014,Mai,EMATER,13232306000115,Indireta,Executivo,83.33,"ALIENACAO DE BENS IMOVEIS",
201405,2014,Mai,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",,N/A,N/A,8250.0,"ALIENACAO DE BENS IMOVEIS",
201405,2014,Mai,"ESTADO DE GOIAS - PODER EXECUTIVO",,N/A,N/A,3.417508333E7,"ALIENACAO DE BENS IMOVEIS",
201405,2014,Mai,"UNIVERSIDADE ESTADUAL DE GOIAS",1112580000171,Indireta,Executivo,83.33,"ALIENACAO DE BENS IMOVEIS",
201405,2014,Mai,EMATER,13232306000115,Indireta,Executivo,83.33,"ALIENACAO DE BENS MOVEIS",
201405,2014,Mai,"ESTADO DE GOIAS - PODER EXECUTIVO",,N/A,N/A,245916.66,"ALIENACAO DE BENS MOVEIS",
201405,2014,Mai,FUNEBOM,14786724000117,Indireta,Executivo,3833.33,"ALIENACAO DE BENS MOVEIS",
201405,2014,Mai,"ESTADO DE GOIAS",,N/A,N/A,2.184166666E7,"ALIENACAO DE IMOVEIS RURAIS",0.0
201405,2014,Mai,"ESTADO DE GOIAS - ADMINISTRACAO DIRETA",,N/A,N/A,2.18335E7,"ALIENACAO DE IMOVEIS RURAIS",0.0
201405,2014,Mai,"ESTADO DE GOIAS - PODER EXECUTIVO",,N/A,N/A,2.184166666E7,"ALIENACAO DE IMOVEIS RURAIS",0.0
201405,2014,Mai,"ESTADO DE GOIAS - TESOURO ESTADUAL",1409655000180,N/A,Executivo,2.18335E7,"ALIENACAO DE IMOVEIS RURAIS",0.0
201405,2014,Mai,"ESTADO DE GOIAS",,N/A,N/A,2.325416667E7,"ALIENACAO DE IMOVEIS URBANOS",0.0
201405,2014,Mai,EMATER,13232306000115,Indireta,Executivo,83.33,"ALIENACAO DE OUTROS BENS IMOVEIS",
201405,2014,Mai,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",,N/A,N/A,,"ALIENACAO DE OUTROS BENS IMOVEIS",0.0
