ANOMES,ANOEXERCICIO,MES,NOMEORGAO,TIPOADMINISTRACAO,TIPOPODER,RECEITAPREVISTAATUALIZADA,NATUREZARECEITA,CNPJORGAO,RECEITAREALIZADA
201412,2014,Dez,"ESTADO DE GOIAS - ADMINISTRACAO DIRETA",N/A,N/A,3.416691663E7,"ALIENACAO DE BENS",,
201412,2014,Dez,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,3.4421E7,"ALIENACAO DE BENS",,
201412,2014,Dez,"ESTADO DE GOIAS - TESOURO ESTADUAL",N/A,Executivo,3.416691663E7,"ALIENACAO DE BENS",1409655000180,
201412,2014,Dez,"FUNDO DE MODERNIZACAO DO MINIST PUBLICO",Direta,N/A,1000.0,"ALIENACAO DE BENS",7004223000176,
201412,2014,Dez,"FUNDO ESTADUAL DE DESENVOL.DO NORDESTE",Direta,Executivo,238833.37,"ALIENACAO DE BENS",4916251000171,
201412,2014,Dez,"ESTADO DE GOIAS",N/A,N/A,3.417508337E7,"ALIENACAO DE BENS IMOVEIS",,
201412,2014,Dez,"AG.GOIANA DE DESENV. RURAL E FUNDIARIO",Indireta,Executivo,83.37,"ALIENACAO DE BENS MOVEIS",3521741000106,
201412,2014,Dez,EMATER,Indireta,Executivo,83.37,"ALIENACAO DE BENS MOVEIS",13232306000115,
201412,2014,Dez,"FUNDO DE FOM. AO DESENV. ECON.E SOCIAL",Direta,Executivo,16333.48,"ALIENACAO DE IMOVEIS RURAIS",3280530000129,
201412,2014,Dez,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,2.325416663E7,"ALIENACAO DE IMOVEIS URBANOS",,0.0
201412,2014,Dez,"UNIVERSIDADE ESTADUAL DE GOIAS",Indireta,Executivo,83.37,"ALIENACAO DE IMOVEIS URBANOS",1112580000171,
201412,2014,Dez,"AG.GOIANA DE DESENV. RURAL E FUNDIARIO",Indireta,Executivo,83.37,"ALIENACAO DE OUTROS BENS IMOVEIS",3521741000106,
201412,2014,Dez,EMATER,Indireta,Executivo,83.37,"ALIENACAO DE OUTROS BENS IMOVEIS",13232306000115,
201412,2014,Dez,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,83.37,"ALIENACAO DE OUTROS BENS IMOVEIS",,0.0
201412,2014,Dez,"ESTADO DE GOIAS-ADMINISTRACAO INDIRETA",N/A,N/A,83.37,"ALIENACAO DE OUTROS BENS IMOVEIS",,
201412,2014,Dez,EMATER,Indireta,Executivo,166.74,"ALIENACAO DE OUTROS BENS MOVEIS",13232306000115,
201412,2014,Dez,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,491833.48,"ALIENACAO DE OUTROS BENS MOVEIS",,0.0
201412,2014,Dez,"FUNDO CAP. SERV. E MOD. - FUNCAM",Direta,Executivo,477666.74,"ALIENACAO DE OUTROS BENS MOVEIS",13301077000143,
201412,2014,Dez,"FUNDO DE FOM. AO DESENV. ECON.E SOCIAL",Direta,Executivo,,"ALIENACAO DE OUTROS BENS MOVEIS",3280530000129,0.0
201412,2014,Dez,"FUNDO DE MODERNIZACAO DO MINIST PUBLICO",Direta,N/A,2000.0,"ALIENACAO DE OUTROS BENS MOVEIS",7004223000176,
201412,2014,Dez,"FUNDO ESP. DE REAPARELHAMENTO DO T.C.M.",Direta,Legislativo,,"ALIENACAO DE OUTROS BENS MOVEIS",6881263000133,0.0
201412,2014,Dez,"FUNDO ESTADUAL DE DESENVOL.DO NORDESTE",Direta,Executivo,477666.74,"ALIENACAO DE OUTROS BENS MOVEIS",4916251000171,
201412,2014,Dez,FUNEBOM,Indireta,Executivo,7666.74,"ALIENACAO DE OUTROS BENS MOVEIS",14786724000117,
201412,2014,Dez,"ESTADO DE GOIAS-ADMINISTRACAO INDIRETA",N/A,N/A,83.37,"ALIENAÇÃO DE IMÓVEIS URBANOS",,
201412,2014,Dez,"UNIVERSIDADE ESTADUAL DE GOIAS",Indireta,Executivo,83.37,"ALIENAÇÃO DE IMÓVEIS URBANOS",1112580000171,
201412,2014,Dez,EMATER,Indireta,Executivo,83.37,"ALIENAÇÃO DE OUTROS BENS IMÓVEIS",13232306000115,
201412,2014,Dez,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",N/A,N/A,,"ALIENAÇÃO DE OUTROS BENS IMÓVEIS",,0.0
201412,2014,Dez,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,83.37,"ALIENAÇÃO DE OUTROS BENS IMÓVEIS",,0.0
201412,2014,Dez,"ESTADO DE GOIAS-ADMINISTRACAO INDIRETA",N/A,N/A,83.37,"ALIENAÇÃO DE OUTROS BENS IMÓVEIS",,
201412,2014,Dez,"AG.GOIANA DE DESENV. RURAL E FUNDIARIO",Indireta,Executivo,2833.26,ALUGUEIS,3521741000106,
201412,2014,Dez,EMATER,Indireta,Executivo,2833.26,ALUGUEIS,13232306000115,0.0
201412,2014,Dez,"FUNDO EST. DE SEGURANCA PUBLICA-FUNESP",Direta,Executivo,1166.74,ALUGUEIS,2658753000114,
201412,2014,Dez,FUNEBOM,Indireta,Executivo,,ALUGUEIS,14786724000117,0.0
201412,2014,Dez,"FUNDO DE FINANC. DO BANCO DO POVO GOIÁS",Direta,Executivo,8083.37,"AMORTIZACAO DE EMPRESTIMOS",17850814000118,
201412,2014,Dez,"FUNDO DE FOMENTO A MINERACAO",Direta,Executivo,,"AMORTIZACAO DE EMPRESTIMOS",3609406000164,0.0
201412,2014,Dez,"FUNDO ESP.DE GERACAO DE EMPREG.E RENDA",Direta,Executivo,8083.37,"AMORTIZACAO DE FINANCIAMENTOS DIVERSOS",3198567000102,
201412,2014,Dez,"ESTADO DE GOIAS",N/A,N/A,,"AMORTIZAÇÃO DE EMPRESTIMOS",,0.0
201412,2014,Dez,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",N/A,N/A,,"AMORTIZAÇÃO DE EMPRÉSTIMOS - FUNMINERAL",,0.0
201412,2014,Dez,"FUNDO DE FOMENTO A MINERACAO",Direta,Executivo,,"AMORTIZAÇÃO DE EMPRÉSTIMOS - FUNMINERAL",3609406000164,0.0
201412,2014,Dez,"FUNDO ESTADUAL DE SAUDE- FES",Direta,Executivo,1819833.37,"ASSISTENCIA FARMACEUTICA",544963000156,0.0
201412,2014,Dez,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",N/A,N/A,10000.0,"ATENÇÃO BÁSICA",,0.0
201412,2014,Dez,"ESTADO DE GOIAS",N/A,N/A,4026833.37,"ATENÇÃO DE MAC. AMBULATORIAL E HOSPITALAR",,0.0
201412,2014,Dez,"ESTADO DE GOIAS - PODER LEGISLATIVO",N/A,N/A,,"ATUALIZAÇÃO MONETÁRIA DA DIVIDA ATIVA NÃO TRIBUTARIA DE OUTRAS RECEITAS - PRINCIPAL",,0.0
201412,2014,Dez,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",N/A,N/A,6927250.0,"BOLSA GARANTIA FOMENTAR",,0.0
201412,2014,Dez,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,6927250.0,"BOLSA GARANTIA FOMENTAR",,0.0
