ANOMES,ANOEXERCICIO,MES,NOMEORGAO,CNPJORGAO,TIPOADMINISTRACAO,TIPOPODER,RECEITAPREVISTAATUALIZADA,NATUREZARECEITA,RECEITAREALIZADA
201409,2014,Set,"PROTEGE GOIAS",6084202000145,Direta,Executivo,2.984041667E7,"ADICIONAL ICMS - FUNDO ESTADUAL DE COMBATE A POBREZA",3.20026054E7
201409,2014,Set,"ESTADO DE GOIAS - TESOURO ESTADUAL",1409655000180,N/A,Executivo,3.416691667E7,"ALIENACAO DE BENS",
201409,2014,Set,"FUNDO CAP. SERV. E MOD. - FUNCAM",13301077000143,Direta,Executivo,238833.33000000002,"ALIENACAO DE BENS",
201409,2014,Set,FUNEBOM,14786724000117,Indireta,Executivo,3833.33,"ALIENACAO DE BENS",
201409,2014,Set,"ESTADO DE GOIAS-ADMINISTRACAO INDIRETA",,N/A,N/A,166.66,"ALIENACAO DE BENS IMOVEIS",
201409,2014,Set,"FUNDO DE FOM. AO DESENV. ECON.E SOCIAL",3280530000129,Direta,Executivo,8333.34,"ALIENACAO DE IMOVEIS URBANOS",
201409,2014,Set,EMATER,13232306000115,Indireta,Executivo,83.33,"ALIENACAO DE OUTROS BENS IMOVEIS",
201409,2014,Set,"ESTADO DE GOIAS-ADMINISTRACAO INDIRETA",,N/A,N/A,83.33,"ALIENACAO DE OUTROS BENS IMOVEIS",
201409,2014,Set,"AG. GOIANA DE DEFESA AGROPECUARIA",6064227000187,Indireta,Executivo,,"ALIENACAO DE OUTROS BENS MOVEIS",0.0
201409,2014,Set,"AG. GOIANA DE REG. CONT. E FISC. S.PUBL",3537650000169,Indireta,Executivo,5833.34,"ALIENACAO DE OUTROS BENS MOVEIS",
201409,2014,Set,"AG.GOIANA DE DESENV. RURAL E FUNDIARIO",3521741000106,Indireta,Executivo,166.66,"ALIENACAO DE OUTROS BENS MOVEIS",
201409,2014,Set,"ESTADO DE GOIAS - TESOURO ESTADUAL",1409655000180,N/A,Executivo,500.0,"ALIENACAO DE OUTROS BENS MOVEIS",0.0
201409,2014,Set,"FUNDO DE FOM. AO DESENV. ECON.E SOCIAL",3280530000129,Direta,Executivo,,"ALIENACAO DE OUTROS BENS MOVEIS",0.0
201409,2014,Set,"FUNDO PENINT. ESTADUAL - FUNPES",10879198000189,Direta,Executivo,,"ALIENACAO DE OUTROS BENS MOVEIS",0.0
201409,2014,Set,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",,N/A,N/A,4166.67,"ALIENAÇÃO DE IMÓVEIS URBANOS",
201409,2014,Set,"UNIVERSIDADE ESTADUAL DE GOIAS",1112580000171,Indireta,Executivo,83.33,"ALIENAÇÃO DE IMÓVEIS URBANOS",
