ANOMES,ANOEXERCICIO,MES,NOMEORGAO,TIPOADMINISTRACAO,TIPOPODER,RECEITAPREVISTAATUALIZADA,NATUREZARECEITA,CNPJORGAO,RECEITAREALIZADA
201503,2015,Mar,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,6916666.67,"ADICIONAL ICMS - FUNDO ESTADUAL DE COMBATE À PROBREZA",,
201503,2015,Mar,AGRODEFESA,Indireta,Executivo,17250.0,"ALIENACAO DE BENS",6064227000187,
201503,2015,Mar,TRANSURB,Indireta,Executivo,83.33,"ALIENACAO DE BENS",2102168000133,
201503,2015,Mar,"ESTADO DE GOIAS - ADMINISTRACAO DIRETA",N/A,N/A,2.082883333E7,"ALIENACAO DE BENS IMOVEIS",,5407.900000000001
201503,2015,Mar,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,2.082899999E7,"ALIENACAO DE BENS IMOVEIS",,5407.900000000001
201503,2015,Mar,"ESTADO DE GOIAS-ADMINISTRACAO INDIRETA",N/A,N/A,17333.33,"ALIENACAO DE BENS MOVEIS",,
201503,2015,Mar,"ESTADO DE GOIAS - TESOURO ESTADUAL",N/A,Executivo,1.7078E7,"ALIENACAO DE IMOVEIS URBANOS",1409655000180,5407.900000000001
201503,2015,Mar,"ESTADO DE GOIAS",N/A,N/A,36666.66,"ALIENACAO DE OUTROS BENS MOVEIS",,
201503,2015,Mar,"ESTADO DE GOIAS",N/A,N/A,1.707808333E7,"ALIENAÇÃO DE IMÓVEIS URBANOS",,5407.900000000001
201503,2015,Mar,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,1.707808333E7,"ALIENAÇÃO DE IMÓVEIS URBANOS",,5407.900000000001
201503,2015,Mar,"ESTADO DE GOIAS-ADMINISTRACAO INDIRETA",N/A,N/A,83.33,"ALIENAÇÃO DE IMÓVEIS URBANOS",,
201503,2015,Mar,"ESTADO DE GOIAS",N/A,N/A,83.33,"ALIENAÇÃO DE OUTROS BENS IMÓVEIS",,
201503,2015,Mar,"ESTADO DE GOIAS",N/A,N/A,355833.32,ALUGUEIS,,762016.38
201503,2015,Mar,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",N/A,N/A,239166.66,ALUGUEIS,,341778.3
201503,2015,Mar,"FUNDO DE MODERNIZACAO DO MINIST PUBLICO",Direta,N/A,8000.0,ALUGUEIS,7004223000176,2160.0
201503,2015,Mar,"FUNDO DE REAP. E APERF. DA PM",Direta,Executivo,1666.66,ALUGUEIS,,
201503,2015,Mar,"FUNDO ESP. DE REAPARELHAMENTO DO T.C.M.",Direta,Legislativo,3833.34,ALUGUEIS,6881263000133,
201503,2015,Mar,"FUNDO PENITENCIÁRIO ESTADUAL - FUNPES",Direta,Executivo,21000.0,ALUGUEIS,10879198000189,18455.08
