ANOMES,ANOEXERCICIO,MES,NOMEORGAO,TIPOADMINISTRACAO,TIPOPODER,RECEITAPREVISTAATUALIZADA,NATUREZARECEITA,RECEITAREALIZADA,CNPJORGAO
201504,2015,Abr,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",N/A,N/A,3.418241667E7,"ADICIONAL ICMS - FUNDO ESTADUAL DE COMBATE A POBREZA",3.366376933E7,
201504,2015,Abr,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,3.418241667E7,"ADICIONAL ICMS - FUNDO ESTADUAL DE COMBATE A POBREZA",3.366376933E7,
201504,2015,Abr,"FUNDO SOCIAL DE LOTERIA",Direta,Executivo,3.418241667E7,"ADICIONAL ICMS - FUNDO ESTADUAL DE COMBATE A POBREZA",,4354889000166
201504,2015,Abr,"PROTEGE GOIAS",Direta,Executivo,3.418241667E7,"ADICIONAL ICMS - FUNDO ESTADUAL DE COMBATE A POBREZA",3.366376933E7,6084202000145
201504,2015,Abr,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",N/A,N/A,6916666.67,"ADICIONAL ICMS - FUNDO ESTADUAL DE COMBATE À PROBREZA",,
201504,2015,Abr,AGRODEFESA,Indireta,Executivo,17250.0,"ALIENACAO DE BENS",,6064227000187
201504,2015,Abr,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,2.084733333E7,"ALIENACAO DE BENS",5446.82,
201504,2015,Abr,TRANSURB,Indireta,Executivo,83.33,"ALIENACAO DE BENS",,2102168000133
201504,2015,Abr,AGRODEFESA,Indireta,Executivo,17250.0,"ALIENACAO DE BENS MOVEIS",,6064227000187
201504,2015,Abr,EMATER,Indireta,Executivo,83.33,"ALIENACAO DE BENS MOVEIS",,13232306000115
201504,2015,Abr,"ESTADO DE GOIAS - TESOURO ESTADUAL",N/A,Executivo,7501666.66,"ALIENACAO DE IMOVEIS RURAIS",,1409655000180
201504,2015,Abr,"ESTADO DE GOIAS - ADMINISTRACAO DIRETA",N/A,N/A,1.7078E7,"ALIENACAO DE IMOVEIS URBANOS",5446.82,
201504,2015,Abr,EMATER,Indireta,Executivo,83.33,"ALIENACAO DE OUTROS BENS IMOVEIS",,13232306000115
201504,2015,Abr,"ESTADO DE GOIAS",N/A,N/A,83.33,"ALIENACAO DE OUTROS BENS IMOVEIS",,
201504,2015,Abr,"ESTADO DE GOIAS-ADMINISTRACAO INDIRETA",N/A,N/A,83.33,"ALIENACAO DE OUTROS BENS IMOVEIS",,
201504,2015,Abr,AGRODEFESA,Indireta,Executivo,34500.0,"ALIENACAO DE OUTROS BENS MOVEIS",,6064227000187
201504,2015,Abr,"ESTADO DE GOIAS - ADMINISTRACAO DIRETA",N/A,N/A,2000.0,"ALIENACAO DE OUTROS BENS MOVEIS",,
201504,2015,Abr,"ESTADO DE GOIAS - TESOURO ESTADUAL",N/A,Executivo,2000.0,"ALIENACAO DE OUTROS BENS MOVEIS",,1409655000180
201504,2015,Abr,"ESTADO DE GOIAS",N/A,N/A,1.707808333E7,"ALIENAÇÃO DE IMÓVEIS URBANOS",5446.82,
201504,2015,Abr,EMATER,Indireta,Executivo,4333.34,ALUGUEIS,9700.0,13232306000115
201504,2015,Abr,"FUNDO ESP. DE REAPARELHAMENTO DO T.C.M.",Direta,Legislativo,3833.34,ALUGUEIS,,6881263000133
201504,2015,Abr,"FUNDO EST. DE SEGURANÇA PÚBLICA-FUNESP",Direta,Executivo,1333.32,ALUGUEIS,,2658753000114
201504,2015,Abr,"FUNDO EST. PROT. E DEF. DO CONSUMIDOR",Direta,Executivo,63000.0,ALUGUEIS,,74159245000100
201504,2015,Abr,"GOIÁS TURISMO",Indireta,Executivo,166.66,ALUGUEIS,,3549463000103
201504,2015,Abr,"ESTADO DE GOIAS",N/A,N/A,221333.33000000002,"AMORTIZACAO DE EMPRESTIMOS",370912.3,
201504,2015,Abr,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,221333.33000000002,"AMORTIZACAO DE EMPRESTIMOS",370912.3,
201504,2015,Abr,FOMENTAR,Direta,Executivo,58916.67,"AMORTIZACAO DE EMPRESTIMOS",0.0,1460666000195
201504,2015,Abr,"ESTADO DE GOIAS",N/A,N/A,58916.67,"AMORTIZACAO DE EMPRESTIMOS - FOMENTAR",0.0,
201504,2015,Abr,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",N/A,N/A,58916.67,"AMORTIZACAO DE EMPRESTIMOS - FOMENTAR",0.0,
201504,2015,Abr,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,155583.33000000002,"AMORTIZACAO DE EMPRESTIMOS - PRODUZIR",370912.3,
201504,2015,Abr,FUNPRODUZIR,Direta,Executivo,155583.33000000002,"AMORTIZACAO DE EMPRESTIMOS - PRODUZIR",370912.3,4352350000178
201504,2015,Abr,"ESTADO DE GOIAS",N/A,N/A,221333.33000000002,"AMORTIZACAO DE FINANCIAMENTOS DIVERSOS",370912.3,
201504,2015,Abr,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",N/A,N/A,221333.33000000002,"AMORTIZACAO DE FINANCIAMENTOS DIVERSOS",370912.3,
201504,2015,Abr,"FUNDO DE FINANC. DO BANCO DO POVO GOIÁS",Direta,Executivo,5833.33,"AMORTIZACAO DE FINANCIAMENTOS DIVERSOS",,17850814000118
201504,2015,Abr,FUNMINERAL,Direta,Executivo,1000.0,"AMORTIZACAO DE FINANCIAMENTOS DIVERSOS",0.0,3609406000164
201504,2015,Abr,FUNPRODUZIR,Direta,Executivo,155583.33000000002,"AMORTIZACAO DE FINANCIAMENTOS DIVERSOS",370912.3,4352350000178
201504,2015,Abr,"ESTADO DE GOIAS",N/A,N/A,1000.0,"AMORTIZAÇÃO DE EMPRÉSTIMOS - FUNMINERAL",0.0,
201504,2015,Abr,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",N/A,N/A,1000.0,"AMORTIZAÇÃO DE EMPRÉSTIMOS - FUNMINERAL",0.0,
201504,2015,Abr,"FUNDO ESPECIAL DE SAUDE - FUNESA",Direta,Executivo,2250000.0,"ASSISTENCIA FARMACEUTICA",,544963000156
201504,2015,Abr,"ESTADO DE GOIAS",N/A,N/A,4833333.33,"ATENÇÃO DE MAC. AMBULATORIAL E HOSPITALAR",6998626.36,
201504,2015,Abr,"ESTADO DE GOIAS",N/A,N/A,83.33,"ATUALIZACAO MONETARIA DE ORIGEM NAO TRIBUTARIA",,
201504,2015,Abr,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,83.33,"ATUALIZACAO MONETARIA DE ORIGEM NAO TRIBUTARIA",,
201504,2015,Abr,"ESTADO DE GOIAS - PODER LEGISLATIVO",N/A,N/A,1750.0,"ATUALIZAÇÃO MONETÁRIA DA DIVIDA ATIVA NÃO TRIBUTARIA DE OUTRAS RECEITAS - PRINCIPAL",2467.62,
201504,2015,Abr,"FUNDO ESP. DE REAPARELHAMENTO DO T.C.M.",Direta,Legislativo,1750.0,"ATUALIZAÇÃO MONETÁRIA DA DIVIDA ATIVA NÃO TRIBUTARIA DE OUTRAS RECEITAS - PRINCIPAL",2467.62,6881263000133
201504,2015,Abr,"ESTADO DE GOIAS",N/A,N/A,1083.33,"ATUALIZAçÂO MONETÁRIA DE OUTROS TRIBUTOS DA DÍVIDA ATIVA - PRINCIPAL",680.47,
201504,2015,Abr,"ESTADO DE GOIAS",N/A,N/A,766000.0,"BLOCO DE INVESTIMENTOS NA REDE DE SERVIÇOS DE SAUDE",839413.7000000001,
201504,2015,Abr,"FUNDO ESPECIAL DE SAUDE - FUNESA",Direta,Executivo,766000.0,"BLOCO DE INVESTIMENTOS NA REDE DE SERVIÇOS DE SAUDE",,544963000156
201504,2015,Abr,"ESTADO DE GOIAS",N/A,N/A,7084500.0,"BOLSA GARANTIA FOMENTAR",6940799.24,
201504,2015,Abr,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",N/A,N/A,7084500.0,"BOLSA GARANTIA FOMENTAR",6940799.24,
201504,2015,Abr,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,7084500.0,"BOLSA GARANTIA FOMENTAR",6940799.24,
201504,2015,Abr,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",N/A,N/A,4250.0,"COMERCIALIZACAO DE OUTROS PRODUTOS VEGETAIS",,
201504,2015,Abr,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",N/A,N/A,4250.0,"COMERCIALIZAÇÃO DE OUTROS PRODUTOS VEGETAIS",,
201504,2015,Abr,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",N/A,N/A,441833.33,"COMPENSACAO FINANCEIRA PREVIDENCIARIA",0.0,
201504,2015,Abr,"ESTADO DE GOIAS-ADMINISTRACAO INDIRETA",N/A,N/A,416666.67,"COMPENSACAO FINANCEIRA PREVIDENCIARIA",817669.88,
201504,2015,Abr,"FUNDO PREVIDENCIÁRIO",Indireta,Executivo,83.33,"COMPENSACAO FINANCEIRA PREVIDENCIARIA",,18867918000106
201504,2015,Abr,"ESTADO DE GOIAS",N/A,N/A,,"CONTRATOS DIVIDA PUBLICA ESTADUAL EXTERNA",1874878.13,
201504,2015,Abr,"ESTADO DE GOIAS - TESOURO ESTADUAL",N/A,Executivo,,"CONTRATOS DIVIDA PÚBLICA ESTADUAL INTERN",0.0,1409655000180
201504,2015,Abr,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",N/A,N/A,3.191666667E7,"CONTRIBUICAO DE SERVIDOR ATIVO CIVIL",3.210800751E7,
201504,2015,Abr,"ESTADO DE GOIAS-ADMINISTRACAO INDIRETA",N/A,N/A,2500000.0,"CONTRIBUICAO DE SERVIDOR ATIVO CIVIL",7856651.27,
201504,2015,Abr,"FUNDO PREVIDENCIÁRIO",Indireta,Executivo,83.33,"CONTRIBUICAO PATRONAL - ATIVO CIVIL",565.89,18867918000106
201504,2015,Abr,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,83.33,"CONTRIBUICAO PATRONAL - ATIVO MILITAR",1305.41,
201504,2015,Abr,"FUNDO FIN. PREV. MILITAR",Indireta,Executivo,83.33,"CONTRIBUICAO PATRONAL - ATIVO MILITAR",1305.41,18798607000124
201504,2015,Abr,"ESTADO DE GOIAS",N/A,N/A,1750166.6600000001,"CONTRIBUICOES DE PENSIONISTA CIVIL",2454624.72,
201504,2015,Abr,"FUNDO PREVIDENCIÁRIO",Indireta,Executivo,83.33,"CONTRIBUICOES DE PENSIONISTA CIVIL",,18867918000106
201504,2015,Abr,"GOIÁS PREVIDÊNCIA",Indireta,Executivo,83.33,"CONTRIBUICOES DE PENSIONISTA CIVIL",494284.89,11991625000189
201504,2015,Abr,"FUNDO FIN. PREV. MILITAR",Indireta,Executivo,1.341591667E7,"CONTRIBUICOES PREVIDENCIARIAS DO REGIME PROPRIO",1.580350587E7,18798607000124
201504,2015,Abr,"FUNDO FIN. PREV. MILITAR",Indireta,Executivo,1.341591667E7,"CONTRIBUICOES SOCIAIS",1.580350587E7,18798607000124
201504,2015,Abr,"ESTADO DE GOIAS",N/A,N/A,6.316675E7,"CONTRIBUIÇÃO PATRONAL - ATIVO CIVIL",6.442873438E7,
201504,2015,Abr,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",N/A,N/A,1.30425E7,"CONTRIBUIÇÕES AO PROTEGE",1.228258327E7,
