ANOMES,ANOEXERCICIO,MES,NOMEORGAO,TIPOADMINISTRACAO,TIPOPODER,RECEITAPREVISTAATUALIZADA,NATUREZARECEITA,CNPJORGAO
201507,2015,Jul,"ESTADO DE GOIAS",N/A,N/A,3.418241667E7,"ADICIONAL ICMS - FUNDO ESTADUAL DE COMBATE À POBREZA",
201507,2015,Jul,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,6916666.67,"ADICIONAL ICMS - FUNDO ESTADUAL DE COMBATE À PROBREZA",
201507,2015,Jul,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,2.082899999E7,"ALIENAÇÃO DE BENS IMÓVEIS",
201507,2015,Jul,"ESTADO DE GOIAS - TESOURO ESTADUAL",N/A,Executivo,2.082883333E7,"ALIENAÇÃO DE BENS IMÓVEIS",1409655000180
201507,2015,Jul,TRANSURB,Indireta,Executivo,83.33,"ALIENAÇÃO DE BENS IMÓVEIS",2102168000133
201507,2015,Jul,"ESTADO DE GOIAS",N/A,N/A,18333.33,"ALIENAÇÃO DE BENS MÓVEIS",
201507,2015,Jul,"ESTADO DE GOIAS - ADMINISTRACAO DIRETA",N/A,N/A,7501666.66,"ALIENAÇÃO DE IMÓVEIS RURAIS",
201507,2015,Jul,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,7501666.66,"ALIENAÇÃO DE IMÓVEIS RURAIS",
201507,2015,Jul,"ESTADO DE GOIAS - TESOURO ESTADUAL",N/A,Executivo,7501666.66,"ALIENAÇÃO DE IMÓVEIS RURAIS",1409655000180
201507,2015,Jul,"ESTADO DE GOIAS - TESOURO ESTADUAL",N/A,Executivo,3.4156E7,"ALIENAÇÃO DE IMÓVEIS URBANOS",1409655000180
201507,2015,Jul,"ESTADO DE GOIAS",N/A,N/A,166.66,"ALIENAÇÃO DE OUTROS BENS IMÓVEIS",
201507,2015,Jul,"ESTADO DE GOIAS",N/A,N/A,36666.66,"ALIENAÇÃO DE OUTROS BENS MÓVEIS",
201507,2015,Jul,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,36666.66,"ALIENAÇÃO DE OUTROS BENS MÓVEIS",
201507,2015,Jul,"ESTADO DE GOIAS",N/A,N/A,355833.32,ALUGUÉIS,
201507,2015,Jul,"ESTADO DE GOIAS - PODER LEGISLATIVO",N/A,N/A,3833.34,ALUGUÉIS,
201507,2015,Jul,"ESTADO DE GOIAS - TESOURO ESTADUAL",N/A,Executivo,76500.0,ALUGUÉIS,1409655000180
201507,2015,Jul,"FUNDO EST. DE SEGURANCA PUBLICA-FUNESP",Direta,Executivo,666.66,ALUGUÉIS,2658753000114
201507,2015,Jul,"FUNDO EST. PROT. E DEF. DO CONSUMIDOR",Direta,Executivo,63000.0,ALUGUÉIS,74159245000100
201507,2015,Jul,"FUNDO DE FINANC. DO BANCO DO POVO GOIÁS",Direta,Executivo,5833.33,"AMORTIZAÇÃO DE EMPRÉSTIMOS",17850814000118
201507,2015,Jul,FUNMINERAL,Direta,Executivo,1000.0,"AMORTIZAÇÃO DE EMPRÉSTIMOS",
201507,2015,Jul,FUNPRODUZIR,Direta,Executivo,155583.33000000002,"AMORTIZAÇÃO DE EMPRÉSTIMOS",
201507,2015,Jul,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",N/A,N/A,155583.33000000002,"AMORTIZAÇÃO DE EMPRÉSTIMOS - PRODUZIR",
201507,2015,Jul,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",N/A,N/A,221333.33000000002,"AMORTIZAÇÃO DE EMPRÉSTIMOS DIVERSOS",
201507,2015,Jul,FUNMINERAL,Direta,Executivo,1000.0,"AMORTIZAÇÃO DE EMPRÉSTIMOS DIVERSOS",
201507,2015,Jul,"ESTADO DE GOIAS",N/A,N/A,2250000.0,"ASSISTÊNCIA FARMACÊUTICA",
